image,specimenID,species,sex,river
Stenella_euphrosyne_1961.5.31.1_mandible_dorsal.tiff,NHMUK_1961.5.31.1,Stenella_coeruleoalba,NA,other
Stenella_euphrosyne_SW.1934.1_mandible_dorsal.tiff,NHMUK_SW.1934.1,Stenella_coeruleoalba,NA,other
Steno_bradanensis_1949.1.7.2_mandible_dorsal.tiff,NHMUK_1949.1.7.2,Steno_bredanensis,NA,other
Steno_bradanensis_1952.8.1.1_mandible_dorsal.tiff,NHMUK_1952.8.1.1,Steno_bredanensis,NA,other
Steno_bradanensis_GERM 345e_mandible_dorsal.tiff,NHMUK_GERM 345e,Steno_bredanensis,NA,other
Steno_bradanensis_GERM 345f_mandible_dorsal.tiff,NHMUK_GERM 345f,Steno_bredanensis,NA,other
Steno_bradanensis_1954.6.25.2_mandible_dorsal.tiff,NHMUK_1954.6.25.2,Steno_bredanensis,Male,other
REP1_Tursiops_aduncus_1949.10.27.3_mandible_dorsal.tiff,NHMUK_1949.10.27.3,Tursiops_aduncus,Male,other
REP1_Tursiops_aduncus_1954.9.9.4_mandible_dorsal.tiff,NHMUK_1954.9.9.4,Tursiops_aduncus,NA,other
REP1_Tursiops_aduncus_1970.1512_mandible_dorsal.tiff,NHMUK_1970.1512,Tursiops_aduncus,NA,other
Tursiops_aduncus_1964.9.2.2_mandible_dorsal.tiff,NHMUK_1964.9.2.2,Tursiops_aduncus,Female,other
Tursiops_truncatus_1952.7.30.3_mandible_dorsal.tiff,NHMUK_1952.7.30.3,Tursiops_truncatus,Male,other
Tursiops_truncatus_1952.7.30.6_mandible_dorsal.tiff,NHMUK_1952.7.30.6,Tursiops_truncatus,Female,other
Tursiops_truncatus_1960.5.11.10_mandible_dorsal.tiff,NHMUK_1960.5.11.10,Tursiops_truncatus,NA,other
Tursiops_truncatus_1960.5.11.7_mandible_dorsal.tiff,NHMUK_1960.5.11.7,Tursiops_truncatus,Female,other
Tursiops_truncatus_1960.5.11.9_mandible_dorsal.tiff,NHMUK_1960.5.11.9,Tursiops_truncatus,Male,other
