IMAGE,Species,Sex,River dolphin
Delphinapterus_leucas_S.W.1932-60_skull_ventral.tiff,Delphinapterus_leucas,Male,other
Delphinus_delphis_1946.12.24.1_skull_ventral.tiff,Delphinus_delphis,Male,other
Grampus_griseus_SW1940-6_skull_ventral.tiff,Grampus_griseus ,Male,other
Monodon_monoceros_1885.2.20.1_skull_ventral.tiff,Monodon_monoceros,NA,other
Monodon_monoceros_1937.10.30.1_skull_ventral.tiff,Monodon_monoceros,Female,other
Monodon_monoceros_1949.11.2.1_skull_ventral.tiff,Monodon_monoceros,Female,other
Phocoena_phocoena_SW.1933-50_skull_ventral.tiff,Phocoena_phocoena,NA,other
Pseudorca_crassidens_1961.6.14.4_skull_ventral.tiff,Pseudorca_crassidens,Female,other
Pseudorca_crassidens_1961.6.14.86_skull_ventral.tiff,Pseudorca_crassidens,Male,other
Pseudorca_crassidens_1961.6.14.27_skull_ventral.tiff,Pseudorca_crassidens,Female,other
